,0,1,2,3,4
BALANCE_FREQUENCY,0.07766998618270785,0.4206615323015718,-0.4164159228866964,-0.4164471721463104,-0.24134397425391396
ONEOFF_PURCHASES,0.559788912129786,0.7115420230140418,0.37847711222700703,0.0017898568672875122,-0.02448154432918553
INSTALLMENTS_PURCHASES,0.8158645627799398,-0.17242575862995957,-0.49947408254956127,0.10363524461507152,-0.002302163043959471
PURCHASES_FREQUENCY,0.9041639266398159,0.027708717001092596,-0.2576980804817285,-0.08789143014393692,0.12236833251458056
ONEOFF_PURCHASES_FREQUENCY,0.5613438817661369,0.6346710693924894,0.25829784561399666,0.0427616827080498,-0.05411904135286104
PURCHASES_INSTALLMENTS_FREQUENCY,0.7724639002151589,-0.19625400346199226,-0.5222683955357318,0.027683179438351784,0.027303939025521508
CASH_ADVANCE_FREQUENCY,-0.5603866525648555,0.5012669040643204,-0.4408590259159368,0.11349426790621654,0.38007467412898066
CASH_ADVANCE_TRX,-0.599755288786478,0.5108722251782438,-0.4511512189881161,0.12189451594276643,0.3511787138945515
PURCHASES_TRX,0.9294730102862271,0.18683102959373915,-0.16258951206066488,-0.0639559412166326,0.11078377416948738
Monthly_avg_purchase,0.9046055427498189,0.24817765724801746,0.037957829771546256,-0.09349382499040257,0.20489754427786158
Monthly_cash_advance,-0.637581443568921,0.4631450378552694,-0.4073761809110998,0.1593610614124925,0.28286797410769365
limit_usage,-0.3825101717030614,0.4130175334223642,-0.39764531906195877,-0.5084804715918915,-0.19195654865495534
payment_minpay,0.31278000056078864,0.037371571484946464,0.2157835152268062,0.6968033432885884,0.22737615902216854
both_oneoff_installment,0.6311261064258495,0.47954301926849063,-0.20878554472186708,0.3000239842016041,-0.3597238855137796
installment,0.2149377925557634,-0.776895415136022,-0.3302394010408844,-0.22477878876186955,0.37341434477716573
none,-0.8112424875676958,-0.009135315117479724,-0.15336136923523525,0.2887092322973563,-0.3611725090013355
one_off,-0.11016964799721894,0.29391414008243133,0.7481216626434383,-0.3987787895592982,0.3826626609824545
